ASSERTION	AAEDAAEBAwAAAAAAAIjDQA==
RUN	io.microsamples.testz.simulation.GetRootsSimulation	getrootssimulation	1572903200171	 	3.2.1
REQUEST	34		get remote chachkies	1572903204572	1572903204610	OK	 
USER	Get Remote Chachkies	34	END	1572903204571	1572903204611
USER	Get Remote Chachkies	35	START	1572903204673	1572903204673
REQUEST	35		get remote chachkies	1572903204675	1572903204715	OK	 
USER	Get Remote Chachkies	35	END	1572903204673	1572903204715
USER	Get Remote Chachkies	36	START	1572903204772	1572903204772
REQUEST	36		get remote chachkies	1572903204773	1572903204824	OK	 
USER	Get Remote Chachkies	36	END	1572903204772	1572903204824
USER	Get Remote Chachkies	37	START	1572903204871	1572903204871
REQUEST	37		get remote chachkies	1572903204872	1572903204906	OK	 
USER	Get Remote Chachkies	37	END	1572903204871	1572903204907
USER	Get Remote Chachkies	38	START	1572903204971	1572903204971
REQUEST	38		get remote chachkies	1572903204972	1572903205036	OK	 
USER	Get Remote Chachkies	38	END	1572903204971	1572903205037
USER	Get Remote Chachkies	39	START	1572903205071	1572903205071
REQUEST	39		get remote chachkies	1572903205072	1572903205106	OK	 
USER	Get Remote Chachkies	39	END	1572903205071	1572903205106
USER	Get Remote Chachkies	40	START	1572903205173	1572903205173
REQUEST	40		get remote chachkies	1572903205174	1572903205204	OK	 
USER	Get Remote Chachkies	40	END	1572903205173	1572903205205
USER	Get Remote Chachkies	41	START	1572903205271	1572903205271
REQUEST	41		get remote chachkies	1572903205272	1572903205340	OK	 
USER	Get Remote Chachkies	41	END	1572903205271	1572903205341
USER	Get Remote Chachkies	42	START	1572903205374	1572903205374
REQUEST	42		get remote chachkies	1572903205375	1572903205413	OK	 
USER	Get Remote Chachkies	42	END	1572903205374	1572903205413
USER	Get Remote Chachkies	43	START	1572903205471	1572903205471
REQUEST	43		get remote chachkies	1572903205472	1572903205511	OK	 
USER	Get Remote Chachkies	43	END	1572903205471	1572903205512
USER	Get Remote Chachkies	44	START	1572903205571	1572903205571
REQUEST	44		get remote chachkies	1572903205572	1572903205604	OK	 
USER	Get Remote Chachkies	44	END	1572903205571	1572903205604
USER	Get Remote Chachkies	45	START	1572903205672	1572903205672
REQUEST	45		get remote chachkies	1572903205672	1572903205712	OK	 
USER	Get Remote Chachkies	45	END	1572903205672	1572903205712
USER	Get Remote Chachkies	46	START	1572903205772	1572903205772
REQUEST	46		get remote chachkies	1572903205773	1572903205809	OK	 
USER	Get Remote Chachkies	46	END	1572903205772	1572903205810
USER	Get Remote Chachkies	47	START	1572903205873	1572903205873
